codigo,grado,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
500,Humanidades,5,5.482,5,5,5,5,5,5,7.079,6.31,6.64,6.313
501,Humanidades (semipresencial),5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
510,Ingeniería Aeroespacial (en inglés),10.777,11.138,11.269,11.271,11.782,11.92,11.932,12.574,12.734,12.646,13.084,13.246
511,Ingeniería Biomédica (en inglés),11.475,11.521,11.676,11.718,12.168,12.204,12.278,12.785,12.747,12.874,13.208,13.221
512,Ingeniería Eléctrica (español o bilingüe),7.797,7.5,7.901,8.119,8.174,8.25,8.275,8.65,8.846,8.379,9.47,10.489
513,Ingeniería Electrónica Industrial y Automática (español o bilingüe),8.215,8.189,8.571,9,9.087,9.297,9.621,9.902,9.829,9.539,10.554,10.774
514,"Ingeniería Informática (español, bilingüe o inglés)",6.6,6.289,6.8,7.418,7.414,8.185,8.479,9.903,10.006,10.242,11.302,11.38
515,Ingeniería Informática (Colmenarejo),6.63,5.449,5.775,6.51,5.994,6.279,7.243,8.264,8.736,9.109,10.9,11.198
516,Ingeniería Mecánica (español o bilingüe),8.707,9.182,9.575,9.721,9.721,9.87,9.832,10.098,10.11,10.201,11.244,11.589
517,Ingeniería de Sonido e Imagen (español o bilingüe),6.822,6.406,6.786,6.876,6.761,6.396,6.789,8.024,7.777,7.336,9.564,9.83
518,Ingeniería de Comunicaciones Móviles y Espaciales (español o bilingüe),6.515,6.356,6.972,7.007,6.9,6.912,6.79,7.591,7.864,8.004,9.259,10.192
519,Ingeniería en Tecnologías Industriales (español o bilingüe),9.275,10.175,10.739,10.865,10.896,10.996,10.63,11.004,10.881,11.084,11.845,12.067
520,Ingeniería en Tecnologías de Telecomunicación (español o bilingüe),7.628,8.098,8.586,8.71,9.122,8.696,8.771,9.681,10.033,9.129,10.794,11.205
521,Ingeniería Telemática (español o bilingüe),6.54,6.739,7.55,7.8,7.497,7.891,7.631,8.529,8.586,7.542,8.985,9.908
540,Administración de Empresas (español o inglés),8.671,9.2,9.56,9.99,10.205,10.204,10.365,10.812,11.203,11.152,11.802,12.075
541,Administración de Empresas (Colmenarejo),8.05,8.059,7.92,8.876,9.269,9.347,9.227,9.843,10.232,10.56,11.068,11.521
542,Ciencias Políticas (español o bilingüe),6.436,6.9,5.508,6.1,6.028,6.656,7.468,9.111,9.775,9.702,10.366,10.476
543,Comunicación Audiovisual (español o bilingüe),8.974,9.827,9.9,9.629,10.319,10.44,10.592,10.511,11.445,11.375,11.809,11.6
544,Derecho,7.233,7.84,8.108,8.75,8.867,9.083,9.406,9.933,10.434,10.387,11.21,11.896
545,Derecho (Colmenarejo),6.28,6.7,6.812,7.185,7.494,6.699,7.758,8.536,9.334,9.528,10.397,10.911
546,Economía (español o inglés),7.36,8.117,9.108,9.633,9.829,9.738,10.296,11.018,11.239,11.317,11.865,12.029
547,Estadística y Empresa,5.504,6.136,6.41,7.371,7.582,7.731,8.62,9.174,10.307,11.033,11.925,12.18
548,Finanzas y Contabilidad (español o inglés),7.003,7.14,7.943,8.388,8.679,8.581,9.16,9.928,10.344,10.55,11.358,11.64
549,Información y Documentación (Getafe),5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA
550,Información y Documentación (Colmenarejo),5,5,5,5,5,5,5,NA,NA,NA,NA,NA
551,Periodismo (español o bilingüe),8.907,9.962,9.469,9.311,9.719,9.89,9.781,9.91,10.282,10.341,10.29,10.711
552,Relaciones Laborales y Empleo,5.06,5.86,5.632,5.24,5.289,5.357,5.858,5.782,7.55,7.62,8.594,8.859
553,Sociología (español o bilingüe),6.29,6.05,6.068,5.583,5.411,6.217,7.008,7.55,8.389,8.654,9.351,9.538
554,Turismo,5.93,6.23,5.939,6.025,6.075,5,6.3,8.19,8.729,8.904,9.518,8.146
570,Ciencias Políticas y Sociología,7.129,8.667,8.296,8.625,8.922,8.815,9.935,10.07,10.952,10.718,11.675,12.107
571,Derecho y Administración de Empresas (español o bilingüe),10.585,11.517,11.928,11.925,11.896,11.769,12.075,12.42,12.579,12.625,12.866,13.107
572,Derecho y Administración de Empresas (Colmenarejo),8.709,9.735,9.632,10.011,10.304,9.899,9.783,10.44,10.726,10.969,11.592,11.921
573,Derecho y Ciencias Políticas,8.611,9.446,10.368,10.042,10.405,10.274,10.542,11.26,12.099,11.354,12.51,12.468
574,Derecho y Economía (español o bilingüe),10.169,10.961,11.684,11.758,11.777,11.744,11.955,12.398,12.467,12.358,12.76,12.997
575,Periodismo y Comunicación Audiovisual (español o bilingüe),10.522,11.539,11.293,11.283,11.375,11.507,11.819,11.611,12.139,11.965,12.386,12.478
576,Ingeniería Informática y Administración de Empresas (Colmenarejo),7.16,8.192,8.893,9.511,9.831,9.556,9.56,10.509,10.88,11.031,11.964,12.319
522,Ingeniería de la Energía (en inglés),NA,NA,NA,9.982,9.958,7.961,8.849,9.651,9.889,10.921,11.2,11.878
577,Periodismo y Humanidades,NA,NA,NA,8.325,9.606,10.67,10.76,10.041,11.221,11.117,10.722,10.756
580,"Filosofía, Política y Economía (bilingüe)",NA,NA,NA,12.018,12.3,12.536,12.662,12.633,12.584,12.798,13.025,13.039
555,Estudios Internacionales (en inglés),NA,NA,NA,NA,11.402,11.592,11.35,11.789,12.489,12.394,12.969,12.932
578,Estudios Internacionales y Administración de Empresas (en inglés),NA,NA,NA,NA,NA,12.83,12.924,13.186,13.216,13.339,13.5,13.5
579,Estudios Internacionales y Ciencias Políticas (bilingüe),NA,NA,NA,NA,NA,11.796,12.353,12.808,12.896,13.022,13.292,13.182
581,Estudios Internacionales y Derecho (bilingue),NA,NA,NA,NA,NA,12.652,12.873,13.25,13.493,13.525,13.684,13.584
556,Grado Abierto UC3M en Ciencias Sociales y Humanidades,NA,NA,NA,NA,NA,NA,9.736,11.061,11.156,11.829,12.85,12.754
523,Grado Abierto UC3M en Ingeniería (español o bilingüe),NA,NA,NA,NA,NA,NA,10.91,11.698,12.317,12.633,13.06,13.236
582,Estudios Internacionales y Economía (en inglés),NA,NA,NA,NA,NA,NA,12.476,12.999,13.166,13.263,13.551,13.43
557,Gestión de la Informacion y Contenidos Digitales,NA,NA,NA,NA,NA,NA,NA,7.683,9.942,10.306,11.18,11.564
558,Empresa y Tecnología (en inglés),NA,NA,NA,NA,NA,NA,NA,NA,12.344,12.618,12.764,12.866
559,Historia y Política (bilingüe),NA,NA,NA,NA,NA,NA,NA,NA,7.806,9.985,10.8,10.835
524,Ciencia e Ingeniería de Datos (en inglés),NA,NA,NA,NA,NA,NA,NA,NA,11.013,11.477,12.474,12.403
502,Estudios Culturales (bilingüe),NA,NA,NA,NA,NA,NA,NA,NA,NA,6.039,7.199,9.1
525,Ingeniería Física (en inglés),NA,NA,NA,NA,NA,NA,NA,NA,NA,12.975,13.229,13.368
526,Matemática Aplicada y Computación (en inglés),NA,NA,NA,NA,NA,NA,NA,NA,NA,12.26,12.851,12.655
583,Ciencia e Ingeniería de Datos e Ingeniería en Tecnologías de Telecomunicación (bilingüe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.904,13.018
584,Ingeniería Física e Ingeniería en Tecnologías Industriales (bilingüe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.331,13.595
585,Ingeniería Informática y Administración de Empresas (Leganes-Getafe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.466,12.749
590,Ciencias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25,11.243
591,"Ciencia, Tecnología y Humanidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
